,marketSegment,name,slug,ticker,totalSupply
492,Ethereum,EvenCoin,evencoin,EVN,31247851.34449517
493,Platform,Bee Token,bee-token,BEE,500000000
494,Cryptocurrency,MicroBitcoin,microbitcoin,MBC,188777000000
495,Blockchain Service,Nebulas,nebulas-token,NAS,73074274.79770002
496,Blockchain Network,GoChain,gochain,GO,1113306340
497,Staking,YFED.Finance,yfedfinance,YFED,35000
498,Cryptocurrency,Dogecoin,dogecoin,DOGE,127430274143.53763
499,Ethereum,Experty,experty,EXY,79404563.9765106
500,Ethereum,CPChain,cpchain,CPC,999999999.1717298
501,Cryptocurrency,Gulden,gulden,NLG,529263258
502,Data,MyToken,mytoken,MT,4000000000
503,Privacy,Monero Classic,monero-classic,XMC,19176436.19105911
504,Blockchain Service,BrahmaOS,brahmaos,BRM,3000000000
505,Binance,Morpheus Labs,morpheus-labs,MITX,733999995
506,Neo,Narrative Network,narrative,NRV,82428004
507,Social,U Network,u-network,UUU,10000000000
508,Ethereum,JET8,jet8,J8T,1468857774.5777798
509,Ethereum,Polybius,polybius,PLBT,3969564.998325
510,Ethereum,Sp8de,sp8de,SPX,8888888888
511,Gambling,HEROcoin,herocoin,PLAY,252165028.70539504
512,Cryptocurrency,Haracoin,haracoin,HRC,9888789342.57996
513,Blockchain Service,GoWithMi,gowithmi,GMAT,14900000000
514,Blockchain Network,Nexus,nexus,NXS,69098591.081077
515,Blockchain Network,TON Crystal,ton-crystal,TON,0
516,Cryptocurrency,Vertcoin,vertcoin,VTC,57734772
517,Financial,Particl,particl,PART,9729527.7786344
518,Other,Po.et,poet,POE,3141592653
519,Ethereum,CyberVein,cybervein,CVT,2147483648
520,Lending,Lendingblock,lendingblock,LND,1000000000
521,Ethereum,Speed Mining Service,speed-mining-service,SMS,300000
522,NEM,Graft,graft,GRFT,1283584833.324892
523,Platform,Stratis,stratis,STRAX,100064812.17004523
524,Decentralized Exchange,Nash Exchange,nash-exchange,NEX,50000000
525,Cryptocurrency,Stellite,stellite,XTL,8302966967
526,Platform,Starbase,starbase,STAR,1000000000
527,Ethereum,Sentinel,sentinel,SENT,1999970000
528,Ethereum,The Midas Touch Gold,the-midas-touch-gold,TMTG,9161139666.073038
529,Ethereum,OriginTrail,origintrail,TRAC,500000000
530,Ethereum,Expanse,expanse,EXP,22845437
531,Sports,ESBC,esbc,ESBC,25414215.00942085
532,Decentralized Exchange,Blockport,blockport,BPT,69434799.6292112
533,Gambling,DAO.Casino,dao-casino,BET,167270820.687909
534,Other,eosDAC,eosdac,EOSDAC,1200000000
535,Cryptocurrency,REPO,repo,REPO,356999900
536,Cryptocurrency,Ravencoin,ravencoin,RVN,7643790000
537,Ethereum,Rentberry,rentberry,BERRY,301473027.68713224
538,Ethereum,Santiment,santiment,SAN,83337000
539,Gaming,Asura Coin,asura-coin,ASA,1000000000
540,Blockchain Network,HYCON ,hycon,HYC,3015073078.8662167
541,Cryptocurrency,Steem,steem,STEEM,405193518.431
542,DeFi,zLOT Finance,zlot-finance,ZLOT,8888
543,Privacy,Bitcoin Private,bitcoin-private,BTCP,22815307
544,Ethereum,Sharpe Platform Token,sharpe-platform-token,SHP,32000000
545,Marketplace,LBRY Credits,library-credit,LBC,699966420
546,Ethereum,Seal Finance,seal-finance,SEAL,3486
547,Ethereum,ALBOS,albos,ALB,28710000000
548,Social,Waletoken,waletoken,WTN,19918713666.786705
549,Network,Rocket Pool,rocket-pool,RPL,17922514.60658495
550,Ethereum,BABB,babb,BAX,50000000000
551,Blockchain Network,Zilliqa,zilliqa,ZIL,14017968710.702244
552,Ethereum,XMax,xmax,XMX,30000000000
553,Exchange,Binance Coin,binance-coin,BNB,176406560.9
554,Ethereum,WeTrust,trust,TRST,100000000
555,Trading,Vivid Coin,vivid-coin,VIVID,7910746.17252777
556,Masternodes,StakeNet,stakenet,XSN,112145047.7191515
557,Gaming,Refereum,refereum,RFR,4999650000
558,Entertainment,TRON,tron,TRX,100850743811.66246
559,Cryptocurrency,Pigeoncoin,pigeoncoin,PGN,6713634865
560,Ethereum,Genesis Vision,genesis-vision,GVT,4436643.92853333
561,Verification,THEKEY,thekey,TKY,9795844687
562,Ethereum,Sakura Bloom,sakura-bloom,SKB,6000000000
563,Cryptocurrency,Vice Industry Token,vice-industry-token,VIT,4000000000
564,Ethereum,NeoWorld Cash,neoworld-cash,NASH,100000000000
565,Cryptocurrency,Fiii,fiii,FIII,2445238541.54
566,Cryptocurrency,SUQA,suqa,SUQA,637719772.761245
567,Cryptocurrency,Kalkulus,kalkulus,KLKS,18915685.14754941
568,Cryptocurrency,Nano,nano,NANO,133248297.197
569,Ethereum,More Coin,more-coin,MORE,30000000
570,Ethereum,Blocklancer,blocklancer,LNC,152177339.13722232
571,Ethereum,QASH,qash,QASH,1000000000
572,Marketing,indaHash,indahash,IDH,399999999.991697
573,Ethereum,Proxeus,proxeus,XES,300000000
574,Stellar,Stellar,stellar,XLM,50001803605.87172
575,Ethereum,ACChain,acchain,ACC,
576,Ethereum,SynLev,synlev,SYN,83000000
577,Data,Bottos,bottos,BTO,1000000000
578,NFT,Nobrainer Finance,nobrainer-finance,BRAIN,30000
579,Privacy,Bytecoin,bytecoin-bcn,BCN,184066828814.05887
580,Cloud Storage,Siacoin,siacoin,SC,45139252992
581,Binance,Trust Wallet Token,trust-wallet-token,TWT,1000000000
582,Blockchain Network,ContractNet,contractnet,CNET,23000000
583,Neo,Trinity Network Credit,trinity-network-credit,TNC,1000000000
584,Other,Globalvillage Ecosystem,globalvillage-ecosystem,GVE,1000000000
585,Komodo,Pirate Chain,pirate-chain,ARRR,173140983
586,Cloud Storage,Bitcoin File,bitcoin-file,BIFI,21050000000
587,Interoperability,IRISnet,irisnet,IRIS,1999633667.0422876
588,Cryptocurrency,T.OS,t-os,TOSC,2088368121.484905
589,Ethereum,Spectiv,signal-token,SIG,378851756.13266844
590,Ethereum,YUI Token,yui-token,YUI,27823
591,Blockchain Network,Semux,semux,SEM,12712343
592,Marketplace,Sentinel Chain,sentinel-chain,SENC,500000000
593,Marketplace,LockTrip,lockchain,LOC,18585932.74150085
594,Financial,HorusPay,horuspay,HORUS,1200000000
595,Cryptocurrency,Electroneum,electroneum,ETN,10215618158.96
596,Privacy,Grin,grin,GRIN,59584920
597,Data,Biotron,biotron,BTRN,411092461
598,Financial,Nxt,nxt,NXT,998999941.5076907
599,Stellar,Stronghold Token,stronghold-token,SHX,100000000000
600,Energy,Electrify.Asia,electrifyasia,ELEC,749999945.2724185
601,Financial,ION,ion,ION,19487369.49086013
602,Ethereum,Nerves,nerves,NER,5000000000
603,Decentralized Exchange,Lykke,lykke,LKK,1285690000
604,Ethereum,BOMB,bomb,BOMB,915526
605,Ethereum,DMarket,dmarket,DMT,56921773.1719715
606,Cryptocurrency,CoinToGo,cointogo,2GO,27716978.2817811
607,Cryptocurrency,Viacoin,viacoin,VIA,23172334.18984379
608,Tokenization,Atlantis Blue Digital Token,atlantis-blue-digital-token,ABDT,399998765
609,Ethereum,X8,x8x-token,X8X,85240628
610,AI,Nebula AI,nebula-ai,NBAI,4959115018
611,Ethereum,Decentralized Machine Learning,decentralized-machine-learning,DML,272937006.72553134
612,Ethereum,Distributed Credit Chain,distributed-credit-chain,DCC,3423933690.00001
613,Financial,PayPie,paypie,PPP,165000000
614,Infrastructure,Ardor,ardor,ARDR,998999495
615,Ethereum,SwissBorg,swissborg,CHSB,1000000000
616,Ethereum,Jesus Coin,jesus-coin,JC,20325184344.1018
617,Blockchain Network,Ternio,ternio,TERN,899921008
618,Exchange,UNUS SED LEO,unus-sed-leo,LEO,999498892.9
619,Sports,SportyCo,sportyco,SPF,70673453.9859041
620,Polkadot,Dock,dock,DOCK,1000000000
621,E-Commerce,Pundi X NEM,pundi-x-nem,NPXSXEM,44788634981.98
622,Ethereum,Educoin,edu-coin,EDU,15000000000
623,Cryptocurrency,DNotes,dnotes,NOTE,155043262.252
624,Ethereum,Influence Chain,influence-chain,IFC,1000000000
625,Blockchain Service,Arcblock,arcblock,ABT,186000000
626,Ardor,Ignis,ignis,IGNIS,999449694
627,Data,Aeron,aeron,ARN,20000000
628,Ethereum,DMScript,dmscript,DMST,100000000
629,Cryptocurrency,Vipstar Coin,vipstar-coin,VIPS,63499128193.01
630,Gambling,BetterBetting,betterbetting,BETR,300585863.0178498
631,Cryptocurrency,The ChampCoin,the-champcoin,TCC,198824132
632,Ethereum,Dent,dent,DENT,100000000000
633,Ethereum,ARPA Chain,arpa-chain,ARPA,1490000000
634,Ethereum,IONChain,ionchain,IONC,520000000
635,Ethereum,OAX,oax,OAX,100000000
636,Blockchain Network,Oasis Network,oasis-network,ROSE,10000000000
637,Lending,Maker,maker,MKR,999907.80551121
638,Trading,Rublix,rublix,RBLX,100000000
639,,Compound Uniswap,compound-uniswap,cUNI,545766018
640,Other,DAEX,daex,DAX,2000000000
641,Cryptocurrency,MktCoin,mktcoin,MLM,2274139409.850964
642,Ethereum,Gemini Dollar,gemini-dollar,GUSD,15692457.66
643,Cryptocurrency,Valuto,valuto,VLU,62964625
644,Exchange,FTX Token,ftx-token,FTT,345219293.59097695
645,Blockchain Network,TrueChain,truechain,TRUE,100000000
646,Neo,Endorsit,endorsit,EDS,100000000000
647,Ethereum,Penta,penta,PNT,49999999999.99999
648,Smart Contracts,Cardano,cardano,ADA,45000000000
649,Ethereum,COVER Protocol,cover-protocol,COVER,54238
650,Ethereum,DaTa EXchange,data-exchange,DTX,225000000
651,,Compound USDT,compound-usdt,cUSDT,4558972537
652,Cryptocurrency,Dascoin,dascoin,DASC,3294166500.60993
653,Cryptocurrency,Peercoin,peercoin,PPC,26642005.55671335
654,Financial,Nexty,nexty,NTY,180000000000
655,,Aave LINK,aave-link,aLINK,26144473
656,DeFi,saffron.finance,saffron-finance,SFI,40000
657,Ethereum,CoinPoker,coinpoker,CHP,278237314.35457474
658,Exchange,KuCoin Shares,kucoin-shares,KCS,170118638
659,Exchange,BlockTrade,blocktrade-token,BTT,57746762
660,Cryptocurrency,Ryo Currency,ryo-currency,RYO,25738951.84
661,Ethereum,Bigbom,bigbom,BBO,1993751536.605432
662,Ethereum,BlockMesh,blockmesh,BMH,2000000000
663,Advertising,Kind Ads Token,kind-ads-token,KIND,61000000
664,Stablecoin,bitCNY,bitcny,BITCNY,28245600
665,Cryptocurrency,APR Coin,apr-coin,APR,13347685.71015361
666,Ethereum,Transcodium,transcodium,TNS,85900000
667,Sports,BoutsPro,boutspro,BOUTS,2000000000
668,Cryptocurrency,Linda,linda,LINDA,13437714976.6654
669,Platform,TERA,tera,TERA,1000000000
670,AI,ATN,atn,ATN,210000000
671,Ethereum,Business Credit Alliance Chain,business-credit-alliance-chain,BCAC,512122609.3851905
672,Marketplace,Storm,storm,STORM,9967745869.45655
673,,Aave ETH,aave-eth,aETH,472179
674,Binance,Bezant,bezant,BZNT,999999820
675,Transportation,CarBlock,carblock,CAR,1800000000
676,Energy,Bittwatt,bittwatt,BWT,338600000
677,Ethereum,GoldMint,goldmint,MNTP,10000000
678,Ethereum,Helbiz,helbiz,HBZ,1005250000
679,Ethereum,Bodhi [ETH],bodhi-eth,BOE,100000000
680,Ethereum,Kuende,kuende,KUE,3013984637
681,Ethereum,BuckHathCoin,buck-hath-coin,BHIG,500000000
682,Ethereum,Cardstack,cardstack,CARD,6000000000
683,,Aave TUSD,aave-tusd,aTUSD,150533312
684,Ethereum,Freeway Token,freeway-token,FWT,10000000000
685,Ethereum,DigiFinexToken,digifinextoken,DFT,2100000000
686,Blockchain Network,WaykiChain,waykichain,WICC,210000000
687,Cryptocurrency,FuturoCoin,futurocoin,FTO,100000000
688,Ethereum,Patron,patron,PAT,400000000
689,Ethereum,Docademic,docademic,MTC,850000000.0
690,,Aave DAI,aave-dai,aDAI,27109786
691,,Aave MKR,aave-mkr,aMKR,14773
692,,Aave BAT,aave-bat,aBAT,10619595
693,Financial,FuzeX,fuzex,FXT,1087156610
694,,Aave USDT,aave-usdt,aUSDT,115251917
695,Ethereum,Parkgene,parkgene,GENE,928840384.33
696,Ethereum,Game Stars,game-stars,GST,264551124.979134
697,Gambling,Quanta Utility Token,quanta-utility-token,QNTU,120000000000
698,Blockchain Service,Presearch,presearch,PRE,500000000
699,Ethereum,Bitex Global XBX Coin,bitex-global-xbx-coin,XBX,298021513
700,,Valor Token,valor-token,VALOR,75000000
701,Cryptocurrency,ODUWA,oduwa,OWC,14895857.8285
702,Ethereum,Civic,civic,CVC,1000000000
703,,Aave SNX,aave-snx,aSNX,
704,Cryptocurrency,Absolute,absolute,ABS,13454447.9413708
705,Ethereum,Elysian,elysian,ELY,260000000
706,EOS,EOSDT,eosdt,EOSDT,2642505.29330823
707,Financial,ALLUVA,alluva,ALV,3000000000
708,Investments,BnkToTheFuture,bnktothefuture,BFT,1000000000
709,Blockchain Service,Silent Notary,silent-notary,SNTR,186462812051
710,Ethereum,OneLedger,oneledger,OLT,1000000000
711,Real Estate,Cybereits,cybereits,CRE,1000000000
712,Entertainment,POPCHAIN,popchain,PCH,2000000000
713,,Aave SUSD,aave-susd,aSUSD,2148854
714,Ethereum,Aurora,aurora,AOA,10000000000
715,Gaming,CryCash,crycash,CRC,7057137.0998682
716,Ethereum,EDUCare,educare,EKT,724297908.475
717,Ethereum,Leadcoin,leadcoin,LDC,2627412705.53219
718,Gaming,FootballCoin,footballcoin,XFC,1000000000
719,Ethereum,Skrumble Network,skrumble-network,SKM,1500000000
720,,Aave MANA,aave-mana,aMANA,60287273
721,Media,Lunyr,lunyr,LUN,2703356.07853158
722,Entertainment,Pepe Cash,pepe-cash,PEPECASH,701884009
723,Ethereum,Promotion Coin,promotion-coin,PC,8750000000
724,Protocol,Raven Protocol,raven-protocol,RAVEN,10000000000
725,Financial,Debitum,debitum-network,DEB,400000000
726,Privacy,Aeon,aeon,AEON,15831459.311211
727,Cryptocurrency,Soarcoin,soarcoin,SOAR,5000000000
728,AI,DeepBrain Chain,deepbrain-chain,DBC,10000000000
729,Ethereum,Crypterium,crpt,CRPT,99427818
730,,Echoin,echoin,ECH,2000000000
731,Financial,U.CASH,ucash,UCASH,21000000000
732,,Aave KNC,aave-knc,aKNC,4654328
733,Ethereum,Telcoin,telcoin,TEL,100000000000
734,Exchange,VinDax Coin,vindax-coin,VD,125000000
735,Cryptocurrency,Shekel,shekel,JEW,133109989.976718
736,Ethereum,OLXA,olxa,OLXA,2600000000
737,Trading,Utrum,utrum,OOT,216000149.17496577
738,Ethereum,VisionX,visionx,VNX,10000000000
739,Financial,Bloom,bloomtoken,BLT,150000000
740,Ethereum,Jarvis Network,jarvis-network,JRT,225861521.29
741,,Aave ZRX,aave-zrx,aZRX,4714502
742,Privacy,Bitcoin Diamond,bitcoin-diamond,BCD,189492897.953
743,Ethereum,Pixie Coin,pixie-coin,PXC,10000000000
744,Insurance,Pal Network,pal-network,PAL,1000000000
745,Ethereum,PitisCoin,pitiscoin,PTS,1000000000
746,Financial,Nexo,nexo,NEXO,1000000000
747,Data,Proton Token,proton-token,PTT,10000000000
748,Ethereum,ARBITRAGE,arbitrage,ARB,8910934.51117645
749,Ethereum,Kora Network Token,kora-network-token,KNT,712500000
750,Ethereum,Kryll.io,kryll,KRL,49417348
751,Cryptocurrency,E-Dinar Coin,e-dinar-coin,EDR,1011211987.679
752,Cryptocurrency,Nasdacoin,nasdacoin,NSD,23175892.3776815
753,Cryptocurrency,CROAT,croat,CROAT,83889364.64355996
754,Real Estate,ACRE,acre,ACRE,4516668.74720128
755,Social,Matchpool,guppy,GUP,98855149.62
756,Exchange,BQT,bqt,BQTX,800000000
757,Exchange,Huobi Token,huobi-token,HT,500000000
758,Financial,Thore Cash,thore-cash,TCH,111111111
759,Financial,Jury.Online Token,jury-online-token,JOT,18601983.9507074
760,Marketing,Friendz,friends,FDZ,1131842156.3806603
761,Data,Cosmo Coin,cosmo-coin,COSM,923000000
762,Smart Contracts,ModulTrade,modultrade,MTRC,78125410.7521347
763,Blockchain Service,Blue Whale EXchange,blue-whale-token,BWX,64320000
764,,Aave BUSD,aave-busd,aBUSD,9850345
765,Ethereum,Forty Seven Bank (47 Bank),forty-seven-bank,FSBT,3699483.0
766,Ethereum,empowr coin,empowr-coin,EMPR,12000000000000
767,Other,Exosis,exosis,EXO,652516.10087038
768,Travel,Tourist Token,tourist-token,TOTO,6599974662.57506
769,Binance,Bitcoin BEP2,bitcoin-bep2,BTCB,9001
770,Cryptocurrency,InflationCoin,inflationcoin,IFLT,44790092020.07955
771,Social,Sapien,sapien,SPN,500000000
772,Supply,Temco,temco,TEMCO,6000000000
773,Ethereum,0xcert Protocol,0xcert,ZXC,474999999
774,,Aave REP,aave-rep,aREP,4935
775,Blockchain Network,Giant,giant-coin,GIC,9539063.96822591
776,Blockchain Service,DAV Token,dav-coin,DAV,1380276937.5528216
777,Cryptocurrency,Cashberry Coin,cashberry-coin,CBC,90005603.0
778,Social,HitChain,hitchain,HIT,102400000000
779,Ethereum,Pillar,pillar,PLR,800000000
780,Ethereum,PumaPay,pumapay,PMA,78042956829
781,Exchange,LocalCoinSwap,local-coin-swap,LCS,71624248.824471
782,,Aave LEND,aave-lend,aLEND,
783,Cryptocurrency,LEOcoin,leocoin,LC4,21000000
784,Ethereum,OKB,okb,OKB,300000000
785,Cryptocurrency,MIR COIN,mir-coin,MIR,1300000000
786,Healthcare,Timicoin,timicoin,TMC,317149560.162186
787,Cryptocurrency,QYNO,qyno,QNO,12441861.48
788,Platform,Honest,honest,HNST,400000000
789,Cloud Storage,Filecoin,file-coin,FIL,44584205
790,Ethereum,Consentium,consentium,CSM,240000000
791,Ethereum,BitRewards,bitrewards,BIT,544070955.5837462
792,Cryptocurrency,ATC Coin,atc-coin,ATCC,410000000
793,Gas Token,Theta Fuel,theta-fuel,TFUEL,5000000000
794,Other,smARTOFGIVING,smartofgiving,AOG,2003485057.900826
795,Ethereum,Doki Doki Finance,doki-doki-finance,DOKI,0
796,Data,Airbloc,airbloc,ABL,373217500
797,Data,DxChain,dxchain-token,DX,100000000000
798,Ethereum,APIS,apis,APIS,9520000000
799,Advertising,Ubex,ubex,UBEX,3973553853.7873
800,Transportation,LogisCoin,logiscoin,LGS,2351215.43440527
801,Cryptocurrency,Flash,flash,FLASH,900000000
802,Supply,Insolar,insolar,XNS,1000000000
803,Ethereum,Davinci Coin,davinci-coin,DAC,8800000000
804,Other,Olive,olive,OLE,10000000000
805,Exchange,OceanEx,oceanex-token,OCE,8811756112.4
806,Interoperability,Ark,ark,ARK,153875704
807,Marketing,Ultra Salescloud,ultra-salescoud,UST,1000000000
808,Social,bitCEO,bitceo,BCEO,2970135500
809,Ethereum,IGToken,igtoken,IG,6562786056.1979
810,Ethereum,CHEX,chex,CHEX,500000000
811,Ethereum,Omnitude,omnitude,ECOM,74413301.337384
812,Cryptocurrency,XDNA,xdna,XDNA,8758126.02266645
813,Privacy,PRiVCY,privcy,PRIV,22175970.26576838
814,Social,AiLink Token,ailink-token,ALI,10000000000
815,Supply,Taelpay,tael,WABI,100000000
816,Other,Kin,kin,KIN,10000000000000
817,Energy,KWHCoin,kwhcoin,KWH,2193100000
818,Gaming,PKG Token,pkg-token,PKG,10000000000
819,Cryptocurrency,Niobio Cash,niobio-cash,NBR,140803742.762465
820,Financial,XOVBank,xovbank,XOV,150000000
821,Ethereum,Six Domain Chain,six-domain-chain,SDA,2000000000
822,Ethereum,CariNet,carinet,CIT,1000000000
823,Healthcare,FarmaTrust,farmatrust,FTT,1000000000
824,Yield farming,Non-Fungible Yearn,non-fungible-yearn,NFY,100000
825,Ethereum,MGC Token,mgc-token,MGC,600000000
826,Ethereum,Knoxstertoken,knoxstertoken,FKX,150000000
827,Ethereum,RealTract,realtract,RET,24600000000
828,Cryptocurrency,ABBC Coin,abbc-coin,ABBC,1483721485.8436608
829,Ethereum,Rock,rock,RKT,900000000
830,Ethereum,HOLD,hold,HOLD,923453365
831,Ethereum,Gaze Coin,gazecoin,GZE,29508557
832,Ethereum,Yearn Finance DOT,yearn-finance-dot,YFDOT,18493.75
833,Energy,WPP,wpp-token,WPP,5000000000
834,Cryptocurrency,AurumCoin,aurumcoin,AU,298408.11518925
835,Interoperability,BUMO,bumo,BU,1500000000
836,Ethereum,HeartBout,heartbout,HB,63695267
837,Ethereum,WABnetwork,wabnetwork,WAB,17869541765
838,Cryptocurrency,Ourcoin,ourcoin,OUR,931510.24281498
839,Other,Helpico,helpico,HELP,5008576.24641
840,Ethereum,BitCoin One,bitcoin-one,BTCONE,13757704.8560313
841,Ethereum,Paypex,paypex,PAYX,150000000
842,Other,Ti-Value,ti-value,TV,210000000
843,Ethereum,district0x,district0x,DNT,1000000000
844,Ethereum,Gems ,gems-protocol,GEM,8000000000
845,EOS,EosBLACK,eosblack,BLACK,3000000000
846,Smart Contracts,Quantstamp,quantstamp,QSP,976442388.321185
847,Ethereum,Bitmart,bitmart-token,BMX,659335283.1282194
848,Ethereum,Global Social Chain,global-social-chain,GSC,1000000000
849,Blockchain Service,DWS,dws,DWS,500000000
850,Ethereum,Formosa Financial,formosa-financial,FMF,2000000000
851,Exchange,HashCoin,hashcoin,HSC,50000000000
852,Entertainment,Contentos,contentos,COS,13500000000
853,Financial,V-Dimension,v-dimension,VOLLAR,2100000000
854,Insurance,Zeusshield,zeusshield,ZSC,5642500000
855,Cloud Computing,GridCoin,gridcoin,GRC,440711725.22171
856,Financial,DPRating,dprating,RATING,9362961677.089724
857,IoT,MyBit,mybit,MYB,179996749.91415927
858,Ethereum,Ice Rock Mining,ice-rock-mining,ROCK2,15724272
859,Cryptocurrency,BitcoiNote,bitcoinote,BTCN,12166067
860,Ethereum,Webcoin,webcoin,WEB,70000000
861,Real Estate,Relex,relex,RLX,2000000000
862,Cryptocurrency,FOIN,foin,FOIN,91217886.8161
863,Exchange,MEX,mex,MEX,1939999970
864,Exchange,KNOW,know,KNOW,1000000000
865,Verification,Remme,remme,REM,1000000000
866,,Aave USDC,aave-usdc,aUSDC,166565229
867,Neo,Alphacat,alphacat,ACAT,6250000000
868,Platform,YOU COIN,you-coin,YOU,2856000000
869,,Aave WBTC,aave-wbtc,aWBTC,15853
870,Ethereum,ClearCoin,clearcoin,XCLR,1000000000
871,Financial,Starta,starta,STA,4995565
872,Ethereum,GSENetwork,gsenetwork,GSE,100000000000
873,Financial,MoneyToken,moneytoken,IMT,19155705310.11
874,Protocol,STACS,stacs,STACS,900000000
875,Cryptocurrency,EVOS,evos,EVOS,10606778.39712606
876,Platform,Rotharium,rotharium,RTH,5207470.24862486
877,Exchange,FUTURAX,futurax,FTXT,7076400718.031015
878,Gaming,ugChain,ugchain,UGC,1000000000
879,Ethereum,United Traders Token,uttoken,UTT,69403130.9798553
880,Platform,ProximaX,proximax,XPX,9000000000
881,Ethereum,WinToken,wintoken,WIN,21000000000
882,Other,OneRoot Network,oneroot-network,RNT,400000000
883,Financial,LinkEye,linkeye,LET,1000000000
884,Ethereum,Etherparty,etherparty,FUEL,1000000000
885,Ethereum,ShowHand,showhand,HAND,403000000000
886,Ethereum,MediBit,medibit,MEDIBIT,50000000000
887,Trading,Lendroid Support Token,lendroid-support-token,LST,1210071487.342
888,Financial,Iconomi,iconomi,ICN,98930339.7729087
889,Ethereum,AirSwap,airswap,AST,500000000
890,Ethereum,sUSD,susd,SUSD,22510653.0839032
891,Healthcare,Medicalchain,medical-chain,MTN,500000000
892,Smart Contracts,Chronologic,chronologic,DAY,1378519.24519918
893,Decentralized Exchange,ZeroSwap,zeroswap,ZEE,100000000
894,Cryptocurrency,Dimecoin,dimecoin,DIME,555998059584
895,Ethereum,GoHelpFund,gohelpfund,HELP,23000000
896,Ethereum,Metal,metal,MTL,66588888
897,Other,Eva Cash,eva-cash,EVC,1000000
898,Ethereum,WeShow Token,weshow-token,WET,1250000000
899,Cryptocurrency,Novacoin,novacoin,NVC,2335756.713897
900,Ethereum,OTCBTC Token,otcbtc-token,OTB,199470887.762563
901,Cryptocurrency,Concierge Coin,concierge-coin,CCC,2546644.29055272
902,Blockchain Network,Couchain,couchain,COU,23000000000
903,Cryptocurrency,Bitcoin SV,bitcoin-sv,BSV,18591701.64442325
904,Ethereum,DreamTeam,dreamteam-token,DTT,55191260
905,Ethereum,W3Coin,w3coin,W3C,99998988889
906,Other,Naka Bodhi Token,naka-bodhi-token,NBOT,100000000
907,Gaming,PlayCoin,playcoin,PLY,1000000000
908,Ethereum,Earth Token,earth-token,EARTH,750000000
909,Advertising,DATx,datx,DATX,10000000000
910,Prediction Market,Stox,stox,STX,54945621.99679242
911,Financial,Neumark,neumark,NEU,67656815.55896105
912,Ontology,Moviebloc,moviebloc,MBL,30000000000
913,Privacy,MoneroV,monero-v,XMV,12076955.11271
914,Blockchain Network,Decent,decent,DCT,73197775
915,Gambling,Dragon Coins,dragon-coins,DRG,442695970.07088
916,Ethereum,ZMINE,zmine,ZMN,220381404.9900193
917,Privacy,NavCoin,nav-coin,NAV,70342746.90771085
918,Scrypt,Shard,shard,SHARD,25391088.27051008
919,Cryptocurrency,Nerva,nerva,XNV,17017723.485
920,Stellar,SIX,six,SIX,999999970
921,Ethereum,Paycent,paycent,PYN,100000000
922,Ethereum,Robotina,robotina,ROX,331614076.92142236
923,Privacy,DAPS Token,daps-token,DAPS,60000000000
924,Cryptocurrency,Metronome,metronome,MET,12583993.5535539
925,Healthcare,Humanscape,humanscape,HUM,1084734273.38
926,Verification,Nuggets,nuggets,NUG,9729464161.024132
927,Protocol,Smartshare,smartshare,SSP,10000000000
928,Ethereum,MidasProtocol,midasprotocol,MAS,270540521.4758478
929,Entertainment,Eristica,eristica,ERT,230502120.2949735
930,Cryptocurrency,Labh Coin,labh-coin,LABH,13458518714.6272
931,Gambling,Gexan,gexan,GEX,2923741.05804217
932,Insurance,SafeInsure,safeinsure,SINS,19902330.88
933,Verification,VeriME,verime,VME,400000000
934,Financial,Crypto.com,crypto-com,MCO,31587682.3632061
935,Other,SmartCash,smartcash,SMART,2014903576.7233424
936,Media,Pibble,pibble,PIB,30000000000
937,Tokenization,CARAT,carat,CARAT,2000000
938,Ethereum,Daneel,daneel,DAN,69320719
939,Ethereum,Commerce Data Connection,commerce-data-connection,CDC,10000000000
940,Data,Insights Network,insights-network,INSTAR,282563340.8303
941,Neo,Bridge Protocol,bridge-protocol,IAM,450000000
942,Cloud Storage,SmartFox,smartfox,FOX,1547529.05215908
943,Entertainment,Theta,theta,THETA,1000000000
944,,CyberMiles,cybermiles,CMT,1000000000
945,Other,InterValue,intervalue,INVE,4000000000
946,Privacy,GIGA,giga,XG,472151842.053
947,IoT,SDChain,sdchain,SDA,1999999978.51766
948,Cryptocurrency,Wixlar,wixlar,WIX,5330000000
949,Ethereum,Metadium,metadium,META,2000000000
950,Blockchain Service,ADAMANT Messenger,adamant-messenger,ADM,105732760
951,Financial,BDT Token,bdt-token,BDT,102183108.160391
952,Ethereum,ELA Coin,ela-coin,ELAC,10000000000
953,Stablecoin,QUSD,qusd,QUSD,3500000000
954,Blockchain Service,IceChain,icechain,ICHX,1000000000
955,Financial,VegaWallet Token,vegawallet-token,VGW,200000000
956,Cryptocurrency,NAGA,naga,NGC,77910266.15769064
957,Mining,HashBX,hashsbx,HBX,1000000000
958,Platform,AMO Coin,amo-coin,AMO,19679012761.81035
959,Blockchain Network,LTO Network,lto-network,LTO,403392372.5246404
960,Cryptocurrency,Amoveo,amoveo,VEO,69838.17744715
961,Financial,Fortuna,fortuna,FOTA,1000000000
962,Gaming,Blacer Coin,blacer-coin,BLCR,831616.3475416
963,DeFi,Akropolis,akropolis,AKRO,4000000000
964,Marketing,Fluz Fluz,fluz-fluz,FLUZ,204780000
965,DeFi,Reserve,reserve-rights,RSR,100000000000
966,Supply,TE-FOOD,te-food,TFD,1000000000
